city_name,month,actual_trips,total_target_trips,performance_status,perc_difference
Chandigarh,January,6810,7000,"below target",-2.71
Chandigarh,February,7387,7000," above target",5.53
Chandigarh,March,6569,7000,"below target",-6.16
Chandigarh,April,5566,6000,"below target",-7.23
Chandigarh,May,6620,6000," above target",10.33
Chandigarh,June,6029,6000," above target",0.48
Coimbatore,January,3651,3500," above target",4.31
Coimbatore,February,3404,3500,"below target",-2.74
Coimbatore,March,3680,3500," above target",5.14
Coimbatore,April,3661,3500," above target",4.60
Coimbatore,May,3550,3500," above target",1.43
Coimbatore,June,3158,3500,"below target",-9.77
Indore,January,6737,7000,"below target",-3.76
Indore,February,7210,7000," above target",3.00
Indore,March,7019,7000," above target",0.27
Indore,April,7415,7500,"below target",-1.13
Indore,May,7787,7500," above target",3.83
Indore,June,6288,7500,"below target",-16.16
Jaipur,January,14976,13000," above target",15.20
Jaipur,February,15872,13000," above target",22.09
Jaipur,March,13317,13000," above target",2.44
Jaipur,April,11406,9500," above target",20.06
Jaipur,May,11475,9500," above target",20.79
Jaipur,June,9842,9500," above target",3.60
Kochi,January,7344,7500,"below target",-2.08
Kochi,February,7688,7500," above target",2.51
Kochi,March,9495,7500," above target",26.60
Kochi,April,9762,9000," above target",8.47
Kochi,May,10014,9000," above target",11.27
Kochi,June,6399,9000,"below target",-28.90
Lucknow,January,10858,13000,"below target",-16.48
Lucknow,February,12060,13000,"below target",-7.23
Lucknow,March,11224,13000,"below target",-13.66
Lucknow,April,10212,11000,"below target",-7.16
Lucknow,May,9705,11000,"below target",-11.77
Lucknow,June,10240,11000,"below target",-6.91
Mysore,January,2485,2000," above target",24.25
Mysore,February,2668,2000," above target",33.40
Mysore,March,2633,2000," above target",31.65
Mysore,April,2603,2500," above target",4.12
Mysore,May,3007,2500," above target",20.28
Mysore,June,2842,2500," above target",13.68
Surat,January,8358,9000,"below target",-7.13
Surat,February,9069,9000," above target",0.77
Surat,March,9267,9000," above target",2.97
Surat,April,9831,10000,"below target",-1.69
Surat,May,9774,10000,"below target",-2.26
Surat,June,8544,10000,"below target",-14.56
Vadodara,January,4775,6000,"below target",-20.42
Vadodara,February,5228,6000,"below target",-12.87
Vadodara,March,5598,6000,"below target",-6.70
Vadodara,April,5941,6500,"below target",-8.60
Vadodara,May,5799,6500,"below target",-10.78
Vadodara,June,4685,6500,"below target",-27.92
Visakhapatnam,January,4468,4500,"below target",-0.71
Visakhapatnam,February,4793,4500," above target",6.51
Visakhapatnam,March,4877,4500," above target",8.38
Visakhapatnam,April,4938,5000,"below target",-1.24
Visakhapatnam,May,4812,5000,"below target",-3.76
Visakhapatnam,June,4478,5000,"below target",-10.44
